/////////////////////////////////////////////////////////////////////////////////
// This File contains OpenGL Profiling Data information
// Project name: AllStar
// Generation date: Saturday_08_April_2017
// Generation time: 14:08:28
//
// Generated by gDEBugger - an OpenGL Debugger and Profiler
// www.gremedy.com
/////////////////////////////////////////////////////////////////////////////////

Time (sec),Frames/sec: GL Context 1,OGL calls/frame: GL Context 1,Texture objects: GL Context 1,CPUs Average Utilization
0.00,0,0,0,35
0.20,0,0,0,41
0.40,0,0,0,50
0.60,0,0,0,31
0.80,0,0,0,37
1.00,0,0,0,26
1.20,0,0,0,43
1.40,0,0,0,66
1.60,0,0,0,52
1.80,0,0,0,52
2.00,0,0,0,78
2.20,0,0,0,74
2.40,0,0,0,54
2.60,0,0,0,41
2.80,0,0,0,56
3.00,0,0,0,48
3.20,0,0,0,62
3.40,0,0,2,87
3.60,0,0,2,78
3.80,0,0,11,76
4.00,0,0,11,84
4.20,0,0,12,71
4.40,0,0,12,73
4.60,0,0,12,56
4.80,0,0,12,66
5.00,0,0,12,67
5.20,0,0,12,67
5.40,0,0,12,51
5.60,0,0,12,42
5.80,0,0,12,64
6.00,0,0,12,83
6.20,0,0,12,70
6.40,0,0,12,75
6.60,0,0,12,53
6.80,0,0,12,50
7.00,0,0,12,63
7.20,0,0,12,55
7.40,0,0,12,59
7.60,0,0,12,67
7.80,0,0,12,67
8.00,0,0,12,71
8.20,0,0,12,63
8.40,0,0,12,62
8.60,0,0,12,60
8.80,0,0,12,55
9.00,0,0,12,57
9.20,0,0,12,56
9.40,0,0,12,65
9.60,0,0,12,66
9.80,0,0,12,70
10.00,0,0,12,77
10.20,0,0,12,68
10.40,0,0,12,73
10.60,0,0,12,62
10.80,0,0,12,45
11.00,0,0,12,58
11.20,0,0,12,61
11.40,0,0,12,67
11.60,0,0,12,54
11.80,0,0,12,54
12.00,0,0,25,56
12.20,0,0,26,64
12.40,0,0,27,64
12.60,0,0,29,66
12.80,0,0,30,57
13.00,0,0,31,52
13.20,0,0,33,54
13.40,0,0,34,59
13.60,0,0,35,56
13.80,0,0,36,65
14.00,0,0,37,49
14.20,0,0,39,57
14.40,0,0,41,56
14.60,0,0,41,56
14.80,0,0,41,47
15.00,0,0,42,50
15.20,0,0,43,49
15.40,0,0,44,53
15.60,0,0,44,55
15.80,0,0,44,87
16.00,0,0,55,86
16.20,0,0,122,70
16.40,0,0,132,57
16.60,0,0,132,55
16.80,0,3199,134,65
17.00,0,3199,134,66
17.20,0,3199,134,63
17.40,17,1712,134,68
17.60,61,1725,134,55
17.80,59,1725,134,62
18.00,56,1725,134,57
18.20,61,1725,134,47
18.40,60,1725,134,54
18.60,58,1725,134,58
18.80,60,1725,134,68
19.00,55,1725,134,58
19.20,62,1725,134,52
19.40,60,1725,134,41
19.60,59,1725,134,49
19.80,60,1725,134,56
20.00,55,1725,134,48
20.20,60,1725,134,44
20.40,59,1725,134,59
20.60,61,1725,134,63
20.80,60,1725,134,65
21.00,54,1725,134,72
21.20,60,1725,134,57
21.40,62,1725,134,71
21.60,60,1725,134,38
21.80,60,1725,134,38
22.00,11,2038,134,39
22.20,33,1930,134,29
22.40,67,1930,134,40
22.60,58,1930,134,40
22.80,61,2000,134,51
23.00,55,2158,134,66
23.20,61,2158,134,51
23.40,60,2158,134,34
23.60,60,2158,134,36
23.80,60,2158,134,34
24.00,51,2158,134,52
24.20,64,2158,134,36
24.40,59,2310,134,47
24.60,58,2424,134,55
24.80,63,2614,134,56
25.00,46,2816,134,60
25.20,68,2779,134,50
25.40,60,2694,134,43
25.60,60,2694,134,51
25.80,30,427,134,51
26.00,56,400,134,64
26.20,59,442,134,65
26.40,61,473,134,66
26.60,59,473,134,73
26.80,63,473,134,67
27.00,17,14886,134,51
27.20,27,14522,134,33
27.40,25,14036,134,50
27.60,24,14147,134,40
27.80,20,13977,134,40
28.00,17,14122,134,44
28.20,18,14522,134,43
28.40,17,14627,134,49
28.60,16,15009,134,52
28.80,15,15497,134,56
29.00,16,15599,134,59
29.20,13,16169,134,62
29.40,18,16512,134,50
29.60,22,16790,134,51
29.80,23,16978,134,37
30.00,18,16873,134,45
30.20,18,17284,134,40
30.40,13,17337,134,49
30.60,14,17471,134,55
30.80,15,17272,134,48
31.00,12,17553,134,38
31.20,15,17793,134,46
31.40,14,17496,134,43
31.60,14,17912,134,39
31.80,16,17694,134,48
32.00,15,17391,134,42
32.20,15,17775,134,47
32.40,13,17649,134,44
32.60,13,17647,134,52
32.80,14,17563,134,67
33.00,13,17431,134,53
33.20,15,17234,134,48
33.40,14,17182,134,49
33.60,15,16891,134,42
33.80,15,17115,134,46
34.00,16,16999,134,44
34.20,16,16651,134,42
34.40,17,15427,134,54
34.60,16,14990,134,46
34.80,16,15438,134,59
35.00,16,15780,134,52
35.20,15,15963,134,55
35.40,15,15965,134,49
35.60,11,16210,134,76
35.80,13,16374,134,74
36.00,15,16449,134,86
36.20,14,15979,134,89
36.40,15,16351,134,88
36.60,16,16630,134,75
36.80,20,16411,134,76
37.00,21,16338,134,58
37.20,22,16043,134,67
37.40,21,16140,134,68
37.60,26,15744,134,46
37.80,27,15466,134,37
38.00,14,15270,134,41
38.20,17,15495,134,42
38.40,17,15688,134,45
38.60,15,15864,134,54
38.80,15,16296,134,54
39.00,14,15948,134,56
39.20,14,15873,134,57
39.40,13,15908,134,70
39.60,15,15661,134,56
39.80,13,15610,134,54
40.00,13,15753,134,60
40.20,16,14963,134,52
40.40,19,14712,134,35
40.60,18,14886,134,40
